command,url,title
/caps-man/interface/possible-channels,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/interface/print,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/interface/remove,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/interface/reselect-channel,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/interface/reset,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/interface/scan,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/interface/set,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/interface/unset,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/manager,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/add,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/comment,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/disable,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/edit,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/enable,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/export,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/find,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/get,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/move,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/print,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/remove,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/reset,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/provisioning/set,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/radio,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/rates,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/registration-table,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/remote-cap,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/add,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/comment,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/edit,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/export,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/find,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/get,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/print,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/remove,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/reset,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/set,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/caps-man/security/unset,https://help.mikrotik.com/docs/spaces/ROS/pages/7962638/CAPsMAN,CAPsMAN
/certificate,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/add,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/add-acme,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/add-scep,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/builtin,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/card-reinstall,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/card-verify,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/create-certificate-request,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/crl,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/edit,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/enable-ssl-certificate,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/export,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/export-certificate,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/find,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/get,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/import,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/issued-revoke,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/print,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/remove,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/reset,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/scep-renew,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/scep-server,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/set,https://help.mikrotik.com/docs/spaces/ROS/pages/328090/Dot1X,Dot1X
/certificate/settings,https://help.mikrotik.com/docs/spaces/ROS/pages/92635137/Enterprise%2Bwireless%2Bsecurity%2Bwith%2BUser%2BManager%2Bv5,"Enterprise wireless security with User Manager v5"
