rosetta_device_id	name	category	discontinued	device_id	product_name	product_code	architecture	cpu	source_hardware_slug	source_www_code	specs_json	alias_count
crs520-4xs-16xq-rm	CRS520-4XS-16XQ-RM	Switches	0	48	CRS520-4XS-16XQ-RM	CRS520-4XS-16XQ-RM	ARM 64bit	AL52400	crs520-4xs-16xq-rm	crs520_4xs_16xq_rm	{"Product code":"CRS520-4XS-16XQ-RM","Suggested price":"$2,195.00","Architecture":"ARM 64bit","CPU":"AL52400","CPU core count":"4","CPU nominal frequency":"2 GHz","CPU Threads count":"4","Switch chip model":"98CX8410","RouterOS license":"5","Operating System":"RouterOS v7","Size of RAM":"4 GB","Storage size":"128 MB","Storage type":"NAND","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-20°C to 50°C","Number of AC inputs":"2","AC input range":"100-240","Number of PSU slots":"2","Frequency (Hz)":"50-60","Max power consumption":"150 W (220 W with both PSUs)","Max power consumption without attachments":"123 W","Cooling type":"4 fans","Number of 1G/2.5G/5G/10G Ethernet ports":"2 (supported: 10M/100M/1G/10G)","Number of 25G SFP28 ports":"4","Number of 100G QSFP28 ports":"16","Serial console port":"RJ45","CPU temperature monitor":"Yes","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"CRS520-4XS-16XQ-RM","_www_tagline":"An ultra-fast enterprise switch with extra processing power due to the CCR series CPU & the best price per 100 Gigabit port on the market!","_hardware_title":"CRS520-4XS-16XQ-RM"}	3
crs804-ddq	CRS804 DDQ	Switches	0	49	CRS804 DDQ	CRS804-4DDQ-hRM	ARM 64bit	AL52400	crs804-4ddq-hrm	crs804_ddq	{"Product code":"CRS804-4DDQ-hRM","Suggested price":"$1,295.00","Architecture":"ARM 64bit","CPU":"AL52400","CPU core count":"4","CPU nominal frequency":"2000 MHz","CPU Threads count":"4","Switch chip model":"98DX7335","RouterOS license":"6","Operating System":"RouterOS v7","Size of RAM":"4 GB","Storage size":"512 MB","Storage type":"NAND","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-10°C to 60°C","Number of AC inputs":"2","AC input range":"100-240","Frequency (Hz)":"50-60","Max power consumption":"123 W","Max power consumption without attachments":"92 W","Cooling type":"2 fans","Number of 1G/2.5G/5G/10G Ethernet ports":"2 (supported: 10M/100M/1G/10G)","Number of 400G QSFP56-DD ports":"4","Serial console port":"RJ45","CPU temperature monitor":"Yes","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"CRS804 DDQ","_www_tagline":"A compact 1U 400G switch built for AI clusters, storage fabrics, and high-speed aggregation, featuring four 400G QSFP56-DD ports, dual 10 Gigabit Ethernet, and RouterOS v7. With hot-swap power supplies, robust cooling, and low power consumption, it delivers ultra-high bandwidth, wire-speed performance, and future-proof scalability at an accessible price point.","_hardware_title":"CRS804-4DDQ-hRM"}	5
crs812-ddq	CRS812 DDQ	Switches	0	50	CRS812 DDQ	CRS812-8DS-2DQ-2DDQ-RM	ARM 64bit	AL52400	crs812-8ds-2dq-2ddq-rm	crs812_ddq	{"Product code":"CRS812-8DS-2DQ-2DDQ-RM","Suggested price":"$1,295.00","Architecture":"ARM 64bit","CPU":"AL52400","CPU core count":"4","CPU nominal frequency":"2000 MHz","CPU Threads count":"4","Switch chip model":"98DX7335","RouterOS license":"6","Operating System":"RouterOS v7","Size of RAM":"4 GB","Storage size":"512 MB","Storage type":"NAND","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-10°C to 50°C","Number of AC inputs":"2","AC input range":"100-240","Number of PSU slots":"2","Frequency (Hz)":"50-60","Max power consumption":"134 W","Max power consumption without attachments":"81 W","Cooling type":"4 fans","Number of 1G/2.5G/5G/10G Ethernet ports":"2 (supported: 10M/100M/1G/10G)","Number of 50G SFP56 ports":"8","Number of 200G QSFP56 ports":"2","Number of 400G QSFP56-DD ports":"2","Serial console port":"RJ45","CPU temperature monitor":"Yes","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"CRS812 DDQ","_www_tagline":"This switch  is your next leap forward –  a powerful, efficient, and cost-effective way to bring 50G, 200G, and 400G into your rack. Quad-core 2 GHz ARM CPU, dual-redundant power supplies and 4x hot-swap cooling fans, 2x 10G Ethernet, 8x 50G SFP56, 2x 200G QSFP56, and 2x 400G QSFP56-DD ports.","_hardware_title":"CRS812-8DS-2DQ-2DDQ-RM"}	5
css318-16g-2s-plus-in	CSS318-16G-2S+IN	Switches	0	51	CSS318-16G-2S+IN	CSS318-16G-2S+IN			css318-16g-2s-plus-in	css318_16g_2s_in	{"Product code":"CSS318-16G-2S+IN","Suggested price":"$139.00","Switch chip model":"98DX2518","Operating System":"SwOS","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of AC inputs":"1","AC input range":"100-240","Frequency (Hz)":"50-60","Max power consumption":"13 W","Max power consumption without attachments":"10 W","Cooling type":"Passive","10/100/1000 Ethernet ports":"16","SFP+ ports":"2","CPU temperature monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"CSS318-16G-2S+IN","_www_tagline":"With 16 Gigabit Ethernet ports and 2 SFP+ 10G uplink ports, you get all the connectivity you need without unnecessary bulk. Stack two units side by side in a single 1U rack space for even greater flexibility and scalability.","_hardware_title":"CSS318-16G-2S+IN"}	5
css326-24g-2s-plus-rm	CSS326-24G-2S+RM	Switches	0	52	CSS326-24G-2S+RM	CSS326-24G-2S+RM			css326-24g-2s-plus-rm	CSS326-24G-2SplusRM	{"Product code":"CSS326-24G-2S+RM","Suggested price":"$159.00","Switch chip model":"98DX3216","Dimensions":"443 x 144 x 44 mm","Operating System":"SwOS","Storage size":"2 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-20°C to 70°C","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"10-30 V","Max power consumption":"19 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"10-30 V","10/100/1000 Ethernet ports":"24","SFP+ ports":"2","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"CSS326-24G-2S+RM","_www_tagline":"SwOS powered 24 port Gigabit Ethernet switch with two SFP+ ports in 1U rackmount case","_hardware_title":"CSS326-24G-2S+RM"}	4
css610-8g-2s-plus-in	CSS610-8G-2S+IN	Switches	0	53	CSS610-8G-2S+IN	CSS610-8G-2S+IN			css610-8g-2s-plus-in	css610_8g_2s_in	{"Product code":"CSS610-8G-2S+IN","Suggested price":"$119.00","Switch chip model":"88E6193X","Dimensions":"200 x 164 x 44 mm","Operating System":"SwitchOS Lite","Storage size":"64 KB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-20°C to 60°C","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"12-57 V","Max power consumption":"11 W","Max power consumption without attachments":"5 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"12-57 V","10/100/1000 Ethernet ports":"8","SFP+ ports":"2","Certification":"CE, EAC, ROHS","IP":"IP20","_www_title":"CSS610-8G-2S+IN","_www_tagline":"Eight 1G Ethernet ports and two SFP+ ports for 10G fiber connectivity.\r\nPortable, powerful and extremely cost-effective – this switch is an instant classic!","_hardware_title":"CSS610-8G-2S+IN"}	5
css610-8p-2s-plus-in	CSS610-8P-2S+IN	Switches	0	54	CSS610-8P-2S+IN	CSS610-8P-2S+IN			css610-8p-2s-plus-in	css610_8p_2s_in	{"Product code":"CSS610-8P-2S+IN","Suggested price":"$229.00","Switch chip model":"88E6193X","Dimensions":"272x208x44mm","Operating System":"SwitchOS Lite","Storage size":"64 KB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of AC inputs":"1","AC input range":"100-240","Number of DC inputs":"1 (DC jack)","DC jack input Voltage":"48-57 V","Number of PSU slots":"1","Frequency (Hz)":"50-60","Max power consumption":"162 W","Max power consumption without attachments":"12 W","Cooling type":"Passive","PoE-out ports":"Ether1-Ether8","PoE out":"802.3af/at","Low voltage PoE-Out current limit":"1000 mA","High voltage PoE-Out current limit":"625 mA","Total output power":"140","10/100/1000 Ethernet ports":"8","Number of 1G Ethernet ports with PoE-out":"8","SFP+ ports":"2","CPU temperature monitor":"Yes","Voltage Monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"CSS610-8P-2S+IN","_www_tagline":"Your compact, affordable PoE powerhouse with 8x Gigabit PoE-out ports and 2x 10 Gigabit SFP+ ports.","_hardware_title":"CSS610-8P-2S+IN"}	5
cube-60pro-ac	Cube 60Pro ac		0	55	Cube 60Pro ac	CubeG-5ac60ay	ARM 32bit	IPQ-4019		cube_60pro_ac	{"Product code":"CubeG-5ac60ay","Suggested price":"$149.00","Architecture":"ARM 32bit","CPU":"IPQ-4019","CPU core count":"4","CPU nominal frequency":"448-896 (auto) MHz","CPU Threads count":"4","Dimensions":"115 x 95 x 82 mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"256 MB","Storage size":"64 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"10 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"18-57 V","Wireless 5 GHz Max data rate":"433 Mbit/s","Wireless 5 GHz Number of chains":"1","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"11.5","Wireless 5 GHz chip model":"IPQ4019","Wireless 5 GHz generation":"Wi-Fi 5","10/100/1000 Ethernet ports":"1","GNSS standards":"GPS","Certification":"CE, FCC, IC, EAC, ROHS","IP":"66","_www_title":"Cube 60Pro ac","_www_tagline":"A powerful point-to-point 60 GHz 802.11ay CPE for bridging distances up to 2.4 km."}	5
cubesa-60pro-ac	CubeSA 60Pro ac			56	CubeSA 60Pro ac	CubeG-5ac60ay-SA	ARM 32bit	IPQ-4019				4
fiberbox-plus	FiberBox Plus	Switches	0	57	FiberBox Plus	CRS305-1G-4S+OUTr2	ARM 32bit	98DX226S	fiberbox-plus	fiberboxplus	{"Product code":"CRS305-1G-4S+OUT","Suggested price":"$229.00","Architecture":"ARM 32bit","CPU":"98DX226S","CPU core count":"2","CPU nominal frequency":"800 MHz","Switch chip model":"98DX226S","RouterOS license":"5","Operating System":"RouterOS v7 / SwOS","Size of RAM":"256 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"3 (DC jack, PoE-IN, 2-pin terminal)","DC jack input Voltage":"24-57 V","2-pin terminal input Voltage":"24-57 V","Max power consumption":"17 W","Max power consumption without attachments":"7 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"42-57 V","10/100/1000 Ethernet ports":"1","SFP+ ports":"4","Serial console port":"RJ45","CPU temperature monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"IP66","_www_title":"FiberBox Plus","_www_tagline":"Ultimate value pick for 10 Gigabit outdoor networking. High masts, poles, or towers – your connection will be safe! A powerful budget version of the netFiber 9.","_hardware_title":"FiberBox Plus"}	7
ftc11xg	FTC11XG	Accessories	0	58	FTC11XG	FTC11XG			ftc11xg	ftc11xg	{"Product code":"FTC11XG","Suggested price":"$139.00","Switch chip model":"88E6193","Operating System":"SwitchOS Lite","Storage size":"64 KB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"18-57 V","Max power consumption":"10 W","Max power consumption without attachments":"9 W","PoE in":"802.3 bt","Cooling type":"Passive","PoE in input Voltage":"43-57 V","10/100/1000 Ethernet ports":"1","Number of 1G/2.5G/5G/10G Ethernet ports":"1","SFP+ ports":"1","CPU temperature monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"55","_www_title":"FTC11XG","_www_tagline":"A weatherproof IP55 Fiber-to-Copper converter to transform your 10 Gigabit SFP+ fiber connections into RJ45 10 Gigabit Ethernet. It runs a full version of SwOS Lite and has its own switch-chip!","_hardware_title":"FTC11XG"}	1
ftc21-ups	FTC21-ups			59	FTC21-ups	FTC21-ups						2
gpen21	GPEN21	Accessories	0	60	GPEN21	GPEN21			gpen21	gpen21	{"Product code":"GPEN21","Suggested price":"$40.00","Switch chip model":"88E6341","Operating System":"SwitchOS Lite","Input voltage":"12 - 57 V, Passive or 802.3af/at","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-20°C to 70°C","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"12-57 V","Max power consumption":"30 W","Max power consumption without attachments":"3 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"12-57 V","PoE-out ports":"Ether2","PoE out":"Passive PoE up to 57V","Low voltage PoE-Out current limit":"850 mA","High voltage PoE-Out current limit":"625 mA","Max total out (A)":"850 mA","10/100/1000 Ethernet ports":"2","Number of 1G Ethernet ports with PoE-out":"1","SFP ports":"1","Output Voltage":"Yes, Passive PoE up to 57 V","Mode button":"Yes","Certification":"CE, EAC, ROHS","IP":"IP20","_www_title":"GPEN21","_www_tagline":"Smart power injector that serves as an advanced software controlled repeater","_hardware_title":"GPEN21"}	1
gperx6	GPERx6	Switches	0	61	GPERx6	CSS606-1G-2Gi-3S+OUT			gperx6	gperx6	{"Product code":"CSS606-1G-2Gi-3S+OUT","Suggested price":"$139.00","Switch chip model":"88E6193X","Operating System":"SwOS","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"12-57 V","Max power consumption":"160 W","Max power consumption without attachments":"6 W","PoE in":"802.3 bt","Cooling type":"Passive","PoE in input Voltage":"42-57 V","PoE-out ports":"Ether2-Ether3","PoE out":"Passive PoE up to 57V","Low voltage PoE-Out current limit":"1.2 A","High voltage PoE-Out current limit":"0.625 A","Max total out (A)":"2.4 A","Total output power":"150","10/100/1000 Ethernet ports":"3","Number of 1G Ethernet ports with Reverse PoE (PoE-in)":"1","Number of 1G Ethernet ports with PoE-out":"2","SFP+ ports":"3","CPU temperature monitor":"Yes","Certification":"CE, EAC, ROHS","IP":"66","_www_title":"GPERx6","_www_tagline":"Cut the cable clutter – extend power and fiber together, anywhere – with a single hybrid cable. At the far end, the GPERx6 splits it all neatly: SFP+ for further long-distance uplinks, PoE-out for powering other switches or access points, and DC outputs for IoT gear or specialized devices.","_hardware_title":"GPERx6"}	3
groove-52	Groove 52	Wireless systems	0	62	Groove 52	RBGroove52HPnr2	MIPSBE	AR9342	groove-series	RBGroove52HPnr2	{"Product code":"RBGroove52HPn","Suggested price":"$59.00","Architecture":"MIPSBE","CPU":"AR9342","CPU core count":"1","CPU nominal frequency":"600 MHz","Dimensions":"180x49x44mm, 193g","RouterOS license":"3","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"6 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"9-30 V","Wireless 2.4 GHz/5 GHz Max data rate":"150 Mbit/s","Wireless 2.4 GHz/5 GHz Number of chains":"1","Wireless 2.4 GHz/5 GHz standards":"802.11a/b/g/n","Wireless 2.4 GHz/5 GHz chip model":"AR9342","Wireless 2.4 GHz/5 GHz generation":"Wi-Fi 4","10/100 Ethernet ports":"1","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Beeper":"Yes","Certification":"CE, FCC, IC, EAC, ROHS","_www_title":"Groove 52","_www_tagline":"2.4GHz/5GHz Backbone/CPE,\r\nN-male connector","_hardware_title":"Groove-series","_fcc_id":["TV7GRV-A52HPN"]}	5
groovea-52	GrooveA 52	Wireless systems	0	63	GrooveA 52	RBGrooveA-52HPnr2	MIPSBE	AR9342	groove-series	RBGrooveA-52HPnr2	{"Product code":"RBGrooveA-52HPn","Suggested price":"$79.00","Architecture":"MIPSBE","CPU":"AR9342","CPU core count":"1","CPU nominal frequency":"600 MHz","Dimensions":"177x44x44mm, 193g","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"6 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"9-30 V","Wireless 2.4 GHz/5 GHz Max data rate":"150 Mbit/s","Wireless 2.4 GHz/5 GHz Number of chains":"1","Wireless 2.4 GHz/5 GHz standards":"802.11b/g/n, 802.11a/n","Antenna gain dBi for 2.4 GHz/5 GHz":"6","Wireless 2.4 GHz/5 GHz chip model":"AR9342","Wireless 2.4 GHz/5 GHz generation":"Wi-Fi 4","10/100 Ethernet ports":"1","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Beeper":"Yes","Certification":"CE, FCC, IC, EAC, ROHS","_www_title":"GrooveA 52","_www_tagline":"2.4GHz/5GHz AP/Backbone/CPE,\r\nN-male connector,\r\nincludes 2.4GHz/5GHz 6dBi Omni Antenna","_hardware_title":"Groove-series","_fcc_id":["TV7GRV-A52HPN"]}	6
groovea-52-ac	GrooveA 52 ac	Wireless systems	0	64	GrooveA 52 ac	RBGrooveGA-52HPacn	MIPSBE	QCA9556	groove-series	RBGrooveGA-52HPacn	{"Product code":"RBGrooveGA-52HPacn","Suggested price":"$99.00","Architecture":"MIPSBE","CPU":"QCA9556","CPU core count":"1","CPU nominal frequency":"720 MHz","Dimensions":"177 x 44 x 44 mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"5 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"10-30 V","Wireless 2.4 GHz/5 GHz Max data rate":"433 Mbit/s","Wireless 2.4 GHz/5 GHz Number of chains":"1","Wireless 2.4 GHz/5 GHz standards":"802.11b/g/n, 802.11a/n/ac","Antenna gain dBi for 2.4 GHz/5 GHz":"6","Wireless 2.4 GHz/5 GHz chip model":"QCA9889","Wireless 2.4 GHz/5 GHz generation":"Wi-Fi 5","10/100/1000 Ethernet ports":"1","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Beeper":"Yes","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP55","_www_title":"GrooveA 52 ac","_www_tagline":"2.4GHz/5GHz AP/Backbone/CPE with 802.11ac and Gigabit Ethernet, N-male connector + Omni antenna","_hardware_title":"Groove-series","_fcc_id":["TV7GRV-A52HPC"]}	4
hap	hAP	Indoor wireless	0	65	hAP	RB951Ui-2nD	MIPSBE	QCA9531	hap	RB951Ui-2nD	{"Product code":"RB951Ui-2nD","Suggested price":"$45.00","Architecture":"MIPSBE","CPU":"QCA9531","CPU core count":"1","CPU nominal frequency":"650 MHz","Switch chip model":"QCA9531","Dimensions":"113 x 89 x 28mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-30°C to 70°C","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"1.5","Wireless 2.4 GHz chip model":"QCA9531","Wireless 2.4 GHz generation":"Wi-Fi 4","10/100 Ethernet ports":"5","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"10-28 V","Max power consumption":"5 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"10-28 V","PoE-out ports":"Ether5","PoE out":"Passive PoE","Low voltage PoE-Out current limit":"500 mA","Max total out (A)":"500 mA","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP20","_www_title":"hAP","_www_tagline":"2.4GHz AP, Five Ethernet ports, PoE-out on port 5, USB for 3G/4G support","_hardware_title":"hAP"}	3
hap-ac	hAP ac	Indoor wireless	0	66	hAP ac	RB962UiGS-5HacT2HnT	MIPSBE	QCA9558	hap-ac	RB962UiGS-5HacT2HnT	{"Product code":"RB962UiGS-5HacT2HnT","Suggested price":"$129.00","Architecture":"MIPSBE","CPU":"QCA9558","CPU core count":"1","CPU nominal frequency":"720 MHz","Switch chip model":"QCA8337","Dimensions":"114 x 137 x 29mm","RouterOS license":"4","Operating System":"RouterOS v7","Size of RAM":"128 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Wireless 2.4 GHz Max data rate":"450 Mbit/s","Wireless 2.4 GHz Number of chains":"3","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"2.5","Wireless 2.4 GHz chip model":"QCA9558","Wireless 2.4 GHz generation":"Wi-Fi 4","Wireless 5 GHz Max data rate":"1300 Mbit/s","Wireless 5 GHz Number of chains":"3","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"2","Wireless 5 GHz chip model":"QCA9880","Wireless 5 GHz generation":"Wi-Fi 5","WiFi speed":"AC1750","10/100/1000 Ethernet ports":"5","SFP ports":"1","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"11-57 V","Max power consumption":"17 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"11-57 V","PoE-out ports":"Ether5","PoE out":"Passive PoE","Low voltage PoE-Out current limit":"700 mA","High voltage PoE-Out current limit":"350 mA","Max total out (A)":"700 mA","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP20","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Beeper":"Yes","_www_title":"hAP ac","_www_tagline":"Dual concurrent triple chain 2.4/5GHz AP, 802.11ac/a/n/b/g, Five Gigabit Ethernet ports, PoE-out on port 5, SFP, USB for 3G/4G support or storage","_hardware_title":"hAP ac"}	5
hap-ac-lite	hAP ac lite	Indoor wireless	0	67	hAP ac lite	RB952Ui-5ac2nD	MIPSBE	QCA9531	hap-ac-lite	RB952Ui-5ac2nD	{"Product code":"RB952Ui-5ac2nD","Suggested price":"$59.00","Architecture":"MIPSBE","CPU":"QCA9531","CPU core count":"1","CPU nominal frequency":"650 MHz","Switch chip model":"QCA9531","Dimensions":"113 x 89 x 28mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-30°C to 70°C","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"1.5","Wireless 2.4 GHz chip model":"QCA9531","Wireless 2.4 GHz generation":"Wi-Fi 4","Wireless 5 GHz Max data rate":"433 Mbit/s","Wireless 5 GHz Number of chains":"1","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"2","Wireless 5 GHz chip model":"QCA9887","Wireless 5 GHz generation":"Wi-Fi 5","WiFi speed":"AC750","10/100 Ethernet ports":"5","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"10-28 V","Max power consumption":"20 W","Max power consumption without attachments":"8 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"10-28 V","PoE-out ports":"Ether5","PoE out":"Passive PoE","Low voltage PoE-Out current limit":"500 mA","Max total out (A)":"500 mA","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP20","_www_title":"hAP ac lite","_www_tagline":"Dual-Concurrent 2.4/5GHz AP, 802.11ac, Five Ethernet ports, PoE-out on port 5, USB for 3G/4G support","_hardware_title":"hAP ac lite"}	5
hap-ac-lite-tc	hAP ac lite TC	Indoor wireless	0	68	hAP ac lite TC	RB952Ui-5ac2nD-TC	MIPSBE	QCA9531	hap-ac-lite-tc	RB952Ui-5ac2nD-TC	{"Product code":"RB952Ui-5ac2nD-TC","Suggested price":"$59.00","Architecture":"MIPSBE","CPU":"QCA9531","CPU core count":"1","CPU nominal frequency":"650 MHz","Switch chip model":"QCA9531","Dimensions":"34 x 119 x 98mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-30°C to 70°C","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"1.5","Wireless 2.4 GHz chip model":"QCA9531","Wireless 2.4 GHz generation":"Wi-Fi 4","Wireless 5 GHz Max data rate":"433 Mbit/s","Wireless 5 GHz Number of chains":"1","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"2","Wireless 5 GHz chip model":"QCA9887","Wireless 5 GHz generation":"Wi-Fi 5","WiFi speed":"AC750","10/100 Ethernet ports":"5","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"10-28 V","Max power consumption":"20 W","Max power consumption without attachments":"8 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"10-28 V","PoE-out ports":"Ether5","PoE out":"Passive PoE","Low voltage PoE-Out current limit":"500 mA","Max total out (A)":"500 mA","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP20","_www_title":"hAP ac lite TC","_www_tagline":"Dual-Concurrent 2.4/5GHz AP, 802.11ac, Five Ethernet ports, PoE-out on port 5, USB for 3G/4G support, universal tower case","_hardware_title":"hAP ac lite TC"}	5
