# cli-reference entry→inspect crosswalk (V-cliref-link-drift baseline; regenerate: make link-cliref-baseline)
# counts	exact=907	alias=24	manual-only=120	entries=1051
source_path	source_type	match_kind	match_detail
routing/route/rule	Directory	alias	dropped segment "route"
system/dashboard/settings	Settings Directory	manual-only	
system/dashboard/show	Command	manual-only	
system/default-configuration/wps-sync-mode-script	Settings Directory	manual-only	
system/license/output	Command	manual-only	
system/ptp	Directory	manual-only	
system/ptp/monitor	Command	manual-only	
system/ptp/port	Directory	manual-only	
system/ptp/status	Directory	manual-only	
system/resource/irq/rps	Directory	manual-only	
system/routerboard/settings/keep-frequency	Command	manual-only	
system/serial-interface/read	Command	manual-only	
system/serial-interface/serial-terminal	Command	alias	dropped segment "serial-interface"
system/serial-interface/start	Command	manual-only	
system/serial-interface/stop	Command	manual-only	
system/serial-interface/write	Command	manual-only	
system/swos	Settings Directory	manual-only	
system/swos/load-config	Command	manual-only	
system/swos/password	Command	manual-only	
system/swos/reset-config	Command	manual-only	
system/swos/save-config	Command	manual-only	
system/swos/upgrade	Command	manual-only	
tool/apptraffic/stats	Directory	manual-only	
tool/apptraffic/stats/categories	Directory	manual-only	
tool/apptraffic/stats/clear	Command	manual-only	
tool/ddns/dns-update	Command	alias	dropped segment "ddns"
tool/graphing/ifaces/interface	Directory	alias	dropped segment "ifaces"
tool/graphing/queues/queue	Directory	alias	dropped segment "queues"
