name	code	category	resolution	hw_url	www_url	needs_review	note
CRS326-4C+20G+2Q+RM	CRS326-4C+20G+2Q+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs326-4c-plus-20g-plus-2q-plus-rm	https://mikrotik.com/product/crs326_4c_20g_2q_rm		
CRS326-24G-2S+IN	CRS326-24G-2S+INr2	Switches	auto	https://manual.mikrotik.com/hardware/crs326-24g-2s-plus-in	https://mikrotik.com/product/crs326_24g_2s_in		
CRS326-24G-2S+RM	CRS326-24G-2S+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs326-24g-2s-plus-rm	https://mikrotik.com/product/CRS326-24G-2SplusRM		
CRS326-24S+2Q+RM	CRS326-24S+2Q+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs326-24s-plus-2q-plus-rm	https://mikrotik.com/product/crs326_24s_2q_rm		
CRS328-4C-20S-4S+RM	CRS328-4C-20S-4S+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs328-4c-20s-4s-plus-rm	https://mikrotik.com/product/crs328_4c_20s_4s_rm		
CRS328-24P-4S+RM	CRS328-24P-4S+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs328-24p-4s-plus-rm	https://mikrotik.com/product/crs328_24p_4s_rm		
CRS354-48G-4S+2Q+RM	CRS354-48G-4S+2Q+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs354-48g-4s-plus-2q-plus-rm	https://mikrotik.com/product/crs354_48g_4splus2qplusrm		
CRS354-48P-4S+2Q+RM	CRS354-48P-4S+2Q+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs354-48p-4s-plus-2q-plus-rm	https://mikrotik.com/product/crs354_48p_4s_2q_rm		
CRS418-8P-8G-2S+5axQ2axQ-RM	CRS418-8P-8G-2S+5axQ2axQ-RM	Switches	auto	https://manual.mikrotik.com/hardware/crs418-8p-8g-2s-plus-5axq2axq-rm	https://mikrotik.com/product/crs418_8p_8g_2s_wifi		
CRS418-8P-8G-2S+RM	CRS418-8P-8G-2S+RM	Switches	auto	https://manual.mikrotik.com/hardware/crs418-8p-8g-2s-plus-rm	https://mikrotik.com/product/crs418_8p_8g_2s_rm		
CRS504-4XQ-IN	CRS504-4XQ-IN	Switches	auto	https://manual.mikrotik.com/hardware/crs504-4xq-in	https://mikrotik.com/product/crs504_4xq_in		
CRS504-4XQ-OUT	CRS504-4XQ-OUT	Switches	auto	https://manual.mikrotik.com/hardware/crs504-4xq-out	https://mikrotik.com/product/crs504_4xq_out		
CRS510-8XS-2XQ-IN	CRS510-8XS-2XQ-IN	Switches	auto	https://manual.mikrotik.com/hardware/crs510-8xs-2xq-in	https://mikrotik.com/product/crs510_8xs_2xq_in		
CRS518-16XS-2XQ-RM	CRS518-16XS-2XQ-RM	Switches	auto	https://manual.mikrotik.com/hardware/crs518-16xs-2xq-rm	https://mikrotik.com/product/crs518_16xs_2xq		
CRS520-4XS-16XQ-RM	CRS520-4XS-16XQ-RM	Switches	auto	https://manual.mikrotik.com/hardware/crs520-4xs-16xq-rm	https://mikrotik.com/product/crs520_4xs_16xq_rm		
CRS804 DDQ	CRS804-4DDQ-hRM	Switches	auto	https://manual.mikrotik.com/hardware/crs804-4ddq-hrm	https://mikrotik.com/product/crs804_ddq		
CRS812 DDQ	CRS812-8DS-2DQ-2DDQ-RM	Switches	auto	https://manual.mikrotik.com/hardware/crs812-8ds-2dq-2ddq-rm	https://mikrotik.com/product/crs812_ddq		
CSS318-16G-2S+IN	CSS318-16G-2S+IN	Switches	auto	https://manual.mikrotik.com/hardware/css318-16g-2s-plus-in	https://mikrotik.com/product/css318_16g_2s_in		
CSS326-24G-2S+RM	CSS326-24G-2S+RM	Switches	auto	https://manual.mikrotik.com/hardware/css326-24g-2s-plus-rm	https://mikrotik.com/product/CSS326-24G-2SplusRM		
CSS610-8G-2S+IN	CSS610-8G-2S+IN	Switches	auto	https://manual.mikrotik.com/hardware/css610-8g-2s-plus-in	https://mikrotik.com/product/css610_8g_2s_in		
CSS610-8P-2S+IN	CSS610-8P-2S+IN	Switches	auto	https://manual.mikrotik.com/hardware/css610-8p-2s-plus-in	https://mikrotik.com/product/css610_8p_2s_in		
Cube 60Pro ac	CubeG-5ac60ay	60 GHz products	auto	https://manual.mikrotik.com/hardware/wireless-wire-cube-pro-cube-60pro-ac	https://mikrotik.com/product/cube_60pro_ac		
CubeSA 60Pro ac	CubeG-5ac60ay-SA		curated-alias	https://manual.mikrotik.com/hardware/wireless-wire-cube-pro-cube-60pro-ac	https://mikrotik.com/product/cubesa_60pro_ac		MikroTik combines two products on one /hardware page; this SA variant's own www product is cubesa_60pro_ac.
FiberBox Plus	CRS305-1G-4S+OUTr2	Switches	auto	https://manual.mikrotik.com/hardware/fiberbox-plus	https://mikrotik.com/product/fiberboxplus		
FTC11XG	FTC11XG	Accessories	auto	https://manual.mikrotik.com/hardware/ftc11xg	https://mikrotik.com/product/ftc11xg		
FTC21-ups	FTC21-ups		no-hardware-page		https://mikrotik.com/product/ftc21_ups	no-hardware-page	www product ftc21_ups exists (was never a fetch candidate); the /hardware/ftc21 page is the non-ups variant, so there is no /hardware page for the -ups SKU.
GPEN21	GPEN21	Accessories	auto	https://manual.mikrotik.com/hardware/gpen21	https://mikrotik.com/product/gpen21		
GPERx6	CSS606-1G-2Gi-3S+OUT	Switches	auto	https://manual.mikrotik.com/hardware/gperx6	https://mikrotik.com/product/gperx6		
Groove 52	RBGroove52HPnr2	Wireless systems	auto	https://manual.mikrotik.com/hardware/groove-series	https://mikrotik.com/product/RBGroove52HPnr2		
GrooveA 52	RBGrooveA-52HPnr2	Wireless systems	auto	https://manual.mikrotik.com/hardware/groove-series	https://mikrotik.com/product/RBGrooveA-52HPnr2		
GrooveA 52 ac	RBGrooveGA-52HPacn	Wireless systems	auto	https://manual.mikrotik.com/hardware/groove-series	https://mikrotik.com/product/RBGrooveGA-52HPacn		
hAP	RB951Ui-2nD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap	https://mikrotik.com/product/RB951Ui-2nD		
hAP ac	RB962UiGS-5HacT2HnT	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ac	https://mikrotik.com/product/RB962UiGS-5HacT2HnT		
hAP ac lite	RB952Ui-5ac2nD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ac-lite	https://mikrotik.com/product/RB952Ui-5ac2nD		
hAP ac lite TC	RB952Ui-5ac2nD-TC	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ac-lite-tc	https://mikrotik.com/product/RB952Ui-5ac2nD-TC		
hAP ac2	RBD52G-5HacD2HnD-TCr2	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ac-2	https://mikrotik.com/product/hap_ac2		
hAP ac3	RBD53iG-5HacD2HnD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ac3	https://mikrotik.com/product/hap_ac3		
hAP ax lite	L41G-2axD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ax-lite	https://mikrotik.com/product/hap_ax_lite		
hAP ax S	E62iUGS-2axD5axT	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ax-s	https://mikrotik.com/product/hap_ax_s		
hAP ax2	C52iG-5HaxD2HaxD-TC	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ax	https://mikrotik.com/product/hap_ax2		
hAP ax3	C53UiG+5HPaxD2HPaxD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-ax-2	https://mikrotik.com/product/hap_ax3		
hAP be lite	A42G-HbeP	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-be-lite	https://mikrotik.com/product/hap_be_lite		
hAP be3 Media	MA53UG+HbeH	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-be-media	https://mikrotik.com/product/hap_be3_media		
hAP lite	RB941-2nD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-lite	https://mikrotik.com/product/RB941-2nD		
hAP lite TC	RB941-2nD-TC	Indoor wireless	auto	https://manual.mikrotik.com/hardware/hap-lite-tc	https://mikrotik.com/product/RB941-2nD-TC		
hEX	RB750Gr3	Ethernet routers	auto	https://manual.mikrotik.com/hardware/hex	https://mikrotik.com/product/RB750Gr3		
hEX lite	RB750r2	Ethernet routers	auto	https://manual.mikrotik.com/hardware/hex-lite	https://mikrotik.com/product/RB750r2		
hEX PoE	RB960PGS	Ethernet routers	auto	https://manual.mikrotik.com/hardware/hex-poe	https://mikrotik.com/product/RB960PGS		
hEX PoE lite	RB750UPr2	Ethernet routers	auto	https://manual.mikrotik.com/hardware/hex-poe-lite	https://mikrotik.com/product/RB750UPr2		
hEX refresh	E50UG	Ethernet routers	auto	https://manual.mikrotik.com/hardware/hex-refresh	https://mikrotik.com/product/hex_2024		
hEX S	RB760iGS	Ethernet routers	auto	https://manual.mikrotik.com/hardware/hex-s	https://mikrotik.com/product/hex_s		
hEX S (2025)	E60iUGS	Ethernet routers	auto	https://manual.mikrotik.com/hardware/hex-s-2025	https://mikrotik.com/product/hex_s_2025		
KNOT	RB924i-2nD-BT5&BG77r2	IoT products	auto	https://manual.mikrotik.com/hardware/rb924i-2nd-bt5-and-bg77	https://mikrotik.com/product/knot		
KNOT Embedded LTE4	EC25-EU&KNe		curated-alias	https://manual.mikrotik.com/hardware/knot-embedded-lte4-ec25-eu-and-kne	https://mikrotik.com/product/knot_emb_lte4_global		Page slug prefixes the friendly name onto the &-compound code; www uses the shared _global product.
KNOT Embedded LTE4 Global	EG25-G&KNe		curated-alias	https://manual.mikrotik.com/hardware/knot-embedded-lte4-global-eg25-g-and-kne	https://mikrotik.com/product/knot_emb_lte4_global		Same shared www product as KNOT Embedded LTE4.
KNOT LR8G kit	RB924iR-2nD-BT5&BG770A&R11e-LR8G	IoT products	auto	https://manual.mikrotik.com/hardware/rb924i-2nd-bt5-and-bg77	https://mikrotik.com/product/knot_lr8g_kit		
KNOT LR9G kit	RB924iR-2nD-BT5&BG770A&R11e-LR9G	IoT products	auto	https://manual.mikrotik.com/hardware/rb924i-2nd-bt5-and-bg77	https://mikrotik.com/product/knot_lr9g_kit		
L009UiGS-2HaxD-IN	L009UiGS-2HaxD-IN	Indoor wireless	auto	https://manual.mikrotik.com/hardware/l009uigs-2haxd-in	https://mikrotik.com/product/l009uigs_2haxd_in		
L009UiGS-RM	L009UiGS-RM	Ethernet routers	auto	https://manual.mikrotik.com/hardware/l009uigs-rm	https://mikrotik.com/product/l009uigs_rm		
